,Hood_ID,NeighbourhoodName,City,Premises_Type
129,14,Islington-City Centre West (14),Toronto,Apartment
130,14,Islington-City Centre West (14),Toronto,Commercial
131,14,Islington-City Centre West (14),Toronto,Apartment
132,14,Islington-City Centre West (14),Toronto,Apartment
133,14,Islington-City Centre West (14),Toronto,Apartment
134,14,Islington-City Centre West (14),Toronto,Other
135,14,Islington-City Centre West (14),Toronto,Apartment
136,14,Islington-City Centre West (14),Toronto,Transit
137,14,Islington-City Centre West (14),Toronto,Outside
138,14,Islington-City Centre West (14),Toronto,Outside
139,14,Islington-City Centre West (14),Toronto,House
140,14,Islington-City Centre West (14),Toronto,House
141,14,Islington-City Centre West (14),Toronto,House
142,14,Islington-City Centre West (14),Toronto,Commercial
143,14,Islington-City Centre West (14),Toronto,House
144,14,Islington-City Centre West (14),Toronto,House
145,14,Islington-City Centre West (14),Toronto,Outside
146,14,Islington-City Centre West (14),Toronto,Outside
147,14,Islington-City Centre West (14),Toronto,Apartment
148,14,Islington-City Centre West (14),Toronto,Transit
149,14,Islington-City Centre West (14),Toronto,Transit
150,14,Islington-City Centre West (14),Toronto,Transit
151,14,Islington-City Centre West (14),Toronto,Educational
152,14,Islington-City Centre West (14),Toronto,Other
153,14,Islington-City Centre West (14),Toronto,Apartment
154,14,Islington-City Centre West (14),Toronto,Commercial
155,14,Islington-City Centre West (14),Toronto,Commercial
156,14,Islington-City Centre West (14),Toronto,Apartment
157,14,Islington-City Centre West (14),Toronto,Apartment
158,14,Islington-City Centre West (14),Toronto,Apartment
159,14,Islington-City Centre West (14),Toronto,Outside
160,14,Islington-City Centre West (14),Toronto,Outside
161,14,Islington-City Centre West (14),Toronto,Outside
162,14,Islington-City Centre West (14),Toronto,Transit
163,14,Islington-City Centre West (14),Toronto,House
164,14,Islington-City Centre West (14),Toronto,Outside
165,14,Islington-City Centre West (14),Toronto,House
166,14,Islington-City Centre West (14),Toronto,Apartment
167,14,Islington-City Centre West (14),Toronto,Commercial
168,14,Islington-City Centre West (14),Toronto,Commercial
169,14,Islington-City Centre West (14),Toronto,Apartment
170,14,Islington-City Centre West (14),Toronto,Outside
171,14,Islington-City Centre West (14),Toronto,Outside
172,14,Islington-City Centre West (14),Toronto,Apartment
173,14,Islington-City Centre West (14),Toronto,Apartment
174,44,Flemingdon Park (44),Toronto,Other
175,14,Islington-City Centre West (14),Toronto,Outside
176,14,Islington-City Centre West (14),Toronto,Apartment
177,14,Islington-City Centre West (14),Toronto,Apartment
178,14,Islington-City Centre West (14),Toronto,House
